pixrad,asw,n_models,z_src_used,mid,z_lens_used,user,swid
12,ASW0009ab8,200,1.2,12298,0.31,c_cld,SW22,
,ASW0005rnb,,,AJE7QIXXPA,,,SW17,
,ASW0007hu2,,,D4UQI6M3ZU,,,SW18,
,ASW0008xbu,,,BFXRMIQEAT,,,SW41,
,ASW0009ab8,,,TGM4U2TZBS,,,SW22,
,ASW00008a0,,,5WB7AO4WUY,,,SW50,
,ASW00097xm,,,KJQD6WG5JR,,,----,
,ASW0000101,,,Y7546JICSR,,,----,
9,ASW0004dv8,200,1.0,12359,0.5,Phil,SW01,
11,ASW0004iye,200,1.0,2125,0.5,jasonjason,SW32,
,ASW0008qab,,,XX434D6LGU,,,----,
9,ASW0004iye,200,1.0,2131,0.5,jasonjason,SW32,
9,ASW0004iye,200,1.0,2132,0.5,jasonjason,SW32,
8,ASW00024id,200,1.0,2133,0.5,Budgieye,SW45,
,ASW0006hn5,,,CQOFN27HYZ,,,----,
9,ASW0004iye,200,1.0,2141,0.5,jasonjason,SW32,
9,ASW0004iye,200,1.0,2142,0.5,jasonjason,SW32,
,ASW00099ed,,,D3Z2LT7UEY,,,SW08,
,ASW0006mea,,,XZDGINWFYY,,,SW03,
11,ASW0007k4r,200,1.0,12400,0.5,c_cld,SW05,
12,ASW0007k4r,200,1.0,12401,0.5,c_cld,SW05,
12,ASW0007k4r,200,1.0,12402,0.5,c_cld,SW05,
,ASW0000w54,,,FKOCMDUEJH,,,----,
,ASW00099ed,,,HISGRAIZL2,,,SW08,
,ASW0005ire,,,UBPPUZHE52,,,----,
,ASW0006jh5,,,GSI5A6JUYX,,,SW27,
,ASW0007sez,,,EFXNFHZ4I6,,,SW54,
,ASW0004q9e,,,JUVHB6F3Y4,,,----,
,ASW0001hpf,,,BLCAAUSI3K,,,----,
,ASW0002b6m,,,HGPS5DSN25,,,----,
8,ASW0002asp,200,1.0,2248,0.5,Capella05,SW09,
,ASW0001csb,,,SHLVNHUZIY,,,----,
,ASW0008qsm,,,WJAKT56KO6,,,SW29,
,ASW0008qsm,,,GYTFOS6GJS,,,SW29,
,ASW00057f5,,,5ADKYZHUSF,,,----,
8,ASW0004dv8,200,1.0,8425,0.5,ElisabethB,SW01,
11,ASW00024q6,200,1.0,12522,0.5,c_cld,SW46,
12,ASW00024q6,200,1.0,12523,0.5,c_cld,SW46,
,ASW0001c3j,,,ZUDPUWLX7U,,,SW43,
,ASW0008qab,,,ZP5QWWXGZ7,,,----,
,ASW0005mp6,,,ZNFGQ4BAV5,,,----,
,ASW0005ire,,,EYJE7GOAL7,,,----,
,ASW0000g95,,,XF5TQSXZDQ,,,SW48,
10,ASW00047ae,200,1.0,12553,0.5,c_cld,SW13,
12,ASW00047ae,200,1.0,12554,0.5,c_cld,SW13,
,ASW0001hpf,,,RSSPANLJCS,,,----,
,ASW0000w54,,,OHLGINNP6B,,,----,
,ASW00071fc,,,KOPRXCDBSK,,,----,
7,ASW00051ld,200,1.0,291,0.5,jasonjason,SW34,
,ASW0005rnb,,,FSICQP47IP,,,SW17,
12,ASW0006a07,200,0.76,6437,0.38,c_cld,SW52,
,ASW0004m3x,,,QZROE23AUH,,,SW21,
,ASW0004nan,,,QUOGDU2NN6,,,SW15,
,ASW00096rm,,,GVYUDXDXLB,,,SW42,
,ASW00096rm,,,4Q3YCEWGLN,,,SW42,
,ASW00018yo,,,6VSOB22KVS,,,----,
,ASW00047ae,,,TGTIIF7HCV,,,SW13,
8,ASW0004iye,200,1.0,2360,0.5,psaha,SW32,
,ASW0007t5y,,,5I4UW73M73,,,SW55,
,ASW0008wmr,,,HJ2STCIBPO,,,SW40,
,ASW00021r0,,,2CZ5QU37NJ,,,SW31,
,ASW0002fq1,,,J3NRKG7D7H,,,----,
12,ASW0004dv8,200,1.0,6479,0.5,ElisabethB,SW01,
,ASW0002e7v,,,4RPELREDGW,,,----,
,ASW00018yo,,,EPUBP5TBEH,,,----,
12,ASW0004dv8,300,1.0,8932,0.5,psaha,SW01,
12,ASW0002asp,200,1.0,13029,0.5,c_cld,SW09,
8,ASW0004dv8,200,1.0,4544,0.5,Budgieye,SW01,
,ASW0009ah7,,,M7GZJN2BAG,,,----,
,ASW0004m3x,,,I2AODKYMKN,,,SW21,
8,ASW0002asp,200,1.0,2421,0.5,jon273,SW09,
,ASW00097xm,,,V2MZSHLMEA,,,----,
,ASW0000100,,,ITJPW5HLAV,,,----,
,ASW0001ld7,,,OS3CYAKLRT,,,SW19,
,ASW00077jj,,,5LLJENQLGT,,,----,
,ASW0008qsm,,,DHCOMTUAOI,,,SW29,
12,ASW0007k4r,200,1.55,12694,0.62,c_cld,SW05,
8,ASW0004dv8,200,1.0,4506,0.5,c_cld,SW01,
,ASW00021r0,,,Y4NEUEI45Y,,,SW31,
12,ASW0009ab8,200,1.0,11333,0.5,c_cld,SW22,
8,ASW0004dv8,200,1.0,4516,0.5,Capella05,SW01,
10,ASW0003wsu,200,1.0,12711,0.5,c_cld,SW12,
12,ASW0003wsu,200,1.0,12712,0.5,c_cld,SW12,
,ASW0009c7u,,,LRK72V4T74,,,----,
,ASW0009ah7,,,R3TLPNI6AW,,,----,
8,ASW0003r61,200,1.0,2478,0.5,Capella05,SW23,
,ASW00086xq,,,BYQATMOXCM,,,SW37,
8,ASW0003r61,200,1.0,2481,0.5,jon273,SW23,
10,ASW0004dv8,200,0.7,4531,0.2,c_cld,SW01,
,ASW00024id,,,TPSG5PJMDD,,,SW45,
,ASW00071fc,,,5KOQG45XYQ,,,----,
11,ASW0004dv8,200,0.68,4535,0.2,c_cld,SW01,
11,ASW0004dv8,200,0.68,4536,0.2,c_cld,SW01,
,ASW0000100,,,L6BCJAN4XY,,,----,
9,ASW0004dv8,200,0.7,4538,0.2,c_cld,SW01,
9,ASW0004dv8,200,0.7,4539,0.2,c_cld,SW01,
9,ASW0004dv8,200,0.6,4543,0.2,c_cld,SW01,
7,ASW0008swn,200,1.0,12736,0.5,c_cld,SW06,
10,ASW0008swn,200,1.0,12737,0.5,c_cld,SW06,
12,ASW0008swn,200,1.0,12738,0.5,c_cld,SW06,
8,ASW0004dv8,200,2.0,4550,0.2,Budgieye,SW01,
,ASW00042d9,,,F37TTRCS7W,,,----,
8,ASW0004dv8,200,1.0,4553,0.2,Budgieye,SW01,
8,ASW0004dv8,200,1.0,4554,0.5,Budgieye,SW01,
,ASW0007iwp,,,M5GLDBO63A,,,SW58,
8,ASW0004dv8,200,1.0,4560,0.5,ElisabethB,SW01,
,ASW0007k4r,,,AJIBCHQ6EM,,,SW05,
8,ASW0004dv8,200,1.0,4568,0.5,Capella05,SW01,
8,ASW0004dv8,200,1.0,4570,0.5,ElisabethB,SW01,
8,ASW0004dv8,200,1.0,4571,0.2,Budgieye,SW01,
12,ASW0007k4r,200,1.55,12766,0.62,c_cld,SW05,
,ASW0001lb5,,,GSSPJIU2Z2,,,----,
12,ASW0007k4r,200,1.55,12768,0.62,c_cld,SW05,
12,ASW0007k4r,200,1.0,12769,0.5,c_cld,SW05,
12,ASW0007k4r,200,1.0,12770,0.5,c_cld,SW05,
12,ASW0007k4r,200,1.55,12771,0.62,c_cld,SW05,
8,ASW0004dv8,200,1.0,4585,0.5,Budgieye,SW01,
,ASW0008qsm,,,2SU75GA4XN,,,SW29,
,ASW0007iwp,,,4XBJWT3COV,,,SW58,
,ASW0009ah7,,,GMUGWHYE54,,,----,
,ASW0001csb,,,KJWV2A5VDP,,,----,
12,ASW0008swn,200,1.0,12373,0.5,c_cld,SW06,
,ASW00024id,,,TSKKYHD3CB,,,SW45,
,ASW00023pg,,,ENCENHLARJ,,,----,
,ASW0007pga,,,VHV6RQYYKZ,,,SW56,
8,ASW0004dv8,200,1.0,4617,0.5,Budgieye,SW01,
8,ASW0004dv8,200,1.0,4625,0.5,Budgieye,SW01,
9,ASW0004dv8,200,0.65,4628,0.25,c_cld,SW01,
,ASW0004nan,,,JUI6MB5I7K,,,SW15,
,ASW0002dx7,,,YV2RNZLTBX,,,SW20,
8,ASW0004dv8,200,1.0,6691,0.5,jasonjason,SW01,
11,ASW0004dv8,200,1.0,6694,0.5,jasonjason,SW01,
9,ASW0004dv8,200,1.0,4648,0.5,Capella05,SW01,
,ASW0009ah7,,,QXUMNCVEFF,,,----,
,ASW0008qab,,,RRVJ4BKGDS,,,----,
,ASW0006e0o,,,S2LA5MRACS,,,SW51,
12,ASW0004iye,200,0.9,6709,0.3,c_cld,SW32,
,ASW0002b6m,,,DTNM2FJRHY,,,----,
8,ASW0004dv8,200,1.0,4681,0.5,ElisabethB,SW01,
,ASW0004wgd,,,JQA3OBCT52,,,SW35,
,ASW0002qtn,,,3TUJKHGED4,,,SW11,
11,ASW0004nan,200,1.0,13410,0.5,c_cld,SW15,
8,ASW0004dv8,200,1.0,4686,0.5,Capella05,SW01,
,ASW00021r0,,,SYTNGELH3Q,,,SW31,
,ASW0001csb,,,PBJSINXJZQ,,,----,
11,ASW0004dv8,200,0.65,4705,0.25,c_cld,SW01,
,ASW0009ah7,,,VAQZY6RXGP,,,----,
8,ASW0004dv8,200,1.0,4711,0.5,ElisabethB,SW01,
11,ASW0004dv8,200,0.65,4713,0.25,c_cld,SW01,
8,ASW00047ae,200,1.0,6767,0.5,c_cld,SW13,
8,ASW00047ae,200,1.0,6771,0.5,c_cld,SW13,
,ASW0008qsm,,,TQKS2E5S7H,,,SW29,
10,ASW00047ae,200,0.9,6784,0.5,c_cld,SW13,
8,ASW0004dv8,200,1.0,4737,0.5,Capella05,SW01,
11,ASW00047ae,200,0.9,6789,0.5,c_cld,SW13,
12,ASW00047ae,200,0.9,6790,0.5,c_cld,SW13,
11,ASW00047ae,200,0.9,6792,0.5,c_cld,SW13,
12,ASW0009bp2,200,1.0,13421,0.5,c_cld,SW16,
,ASW0009auu,,,5WCTAXPI57,,,----,
,ASW0001lb5,,,E663NDQICM,,,----,
11,ASW0004dv8,200,0.65,4755,0.25,c_cld,SW01,
8,ASW0004dv8,200,1.0,4758,0.5,ElisabethB,SW01,
,ASW0005ma2,,,ANLNZDLGFF,,,SW26,
,ASW0007t5y,,,YINTKV2XET,,,SW55,
,ASW0009cox,,,KCX5ZKZCYU,,,----,
,ASW0002asp,,,5EKMWWVJHL,,,SW09,
10,ASW0007t5y,200,1.0,8879,0.5,c_cld,SW55,
12,ASW0007t5y,200,1.0,8881,0.5,c_cld,SW55,
12,ASW0007k4r,200,1.0,8884,0.5,c_cld,SW05,
12,ASW0007k4r,200,1.0,8885,0.5,c_cld,SW05,
12,ASW0007t5y,200,1.0,8886,0.5,Phil,SW55,
,ASW00024id,,,YOWQIQUBK3,,,SW45,
,ASW0002dx7,,,PWHGWXVMWP,,,SW20,
,ASW0006jh5,,,4TI677H3WU,,,SW27,
8,ASW0004dv8,200,1.0,4809,0.5,Budgieye,SW01,
,ASW00023pg,,,BL5HGOKDXT,,,----,
,ASW0005ks6,,,WJJMCUTSO4,,,----,
8,ASW0004dv8,200,1.0,4827,0.5,ElisabethB,SW01,
,ASW0009ah7,,,MUGCPS43Y5,,,----,
8,ASW0004dv8,200,1.0,4836,0.5,Budgieye,SW01,
12,ASW0007t5y,200,1.0,8933,0.5,Capella05,SW55,
,ASW00077jj,,,GW3RRTRLW4,,,----,
,ASW0002b6m,,,JQFENOSLM6,,,----,
,ASW0006a07,,,Y7SAF7WWVG,,,SW52,
8,ASW0004dv8,200,1.1,4849,0.24,c_cld,SW01,
8,ASW0004dv8,200,1.0,4850,0.5,Khalila RedBird,SW01,
8,ASW0004dv8,200,1.0,4853,0.5,Khalila RedBird,SW01,
,ASW0001csb,,,AMA6R2SYYF,,,----,
8,ASW0006e0o,200,1.0,13053,0.5,c_cld,SW51,
10,ASW0006e0o,200,1.0,13055,0.5,c_cld,SW51,
12,ASW0006e0o,200,1.0,13056,0.5,c_cld,SW51,
8,ASW0004dv8,200,1.0,4865,0.1,ElisabethB,SW01,
,ASW0001csb,,,TFEVAN2TRQ,,,----,
11,ASW0004dv8,200,1.4,4870,0.3,c_cld,SW01,
11,ASW0004dv8,200,1.0,4871,0.5,c_cld,SW01,
,ASW0008qsm,,,QLLDGNCFYV,,,SW29,
9,ASW0004dv8,200,1.2,4879,0.3,c_cld,SW01,
8,ASW0002dx7,200,1.0,474,0.5,jasonjason,SW20,
11,ASW0004dv8,200,1.0,4902,0.5,c_cld,SW01,
10,ASW0004dv8,200,0.84,4916,0.3,c_cld,SW01,
,ASW0000ar2,,,JW3HOCVDHD,,,----,
,ASW0009ah7,,,AXO5WSFKRZ,,,----,
,ASW0008qsm,,,M6IXERVPB4,,,SW29,
,ASW0000wqt,,,23WB343MWG,,,----,
,ASW0003gj8,,,K575KIHHGI,,,----,
,ASW0008qsm,,,DLDC4N7SOR,,,SW29,
,ASW0000g95,,,A6UPEGOHT5,,,SW48,
,ASW0004nan,,,WWPXSGQALW,,,SW15,
11,ASW0008swn,200,1.0,12372,0.5,c_cld,SW06,
,ASW0004m3x,,,PGTZG3KCTV,,,SW21,
,ASW0002p8y,,,3BJQ2QZN65,,,SW30,
11,ASW0004dv8,200,2.0,4965,0.32,c_cld,SW01,
12,ASW0002dx7,200,1.0,13160,0.5,c_cld,SW20,
12,ASW0002dx7,200,1.0,13164,0.5,c_cld,SW20,
12,ASW0002dx7,200,1.0,13165,0.5,c_cld,SW20,
,ASW0000101,,,FKWANV5CHI,,,----,
,ASW000066w,,,KEDFRTYJXH,,,----,
11,ASW0004dv8,200,2.0,4979,0.32,c_cld,SW01,
12,ASW0002dx7,200,1.5,13175,0.3,c_cld,SW20,
12,ASW0002dx7,200,1.5,13178,0.3,c_cld,SW20,
,ASW0004nan,,,SIXSETQH4U,,,SW15,
8,ASW0002k40,200,1.0,896,0.5,Capella05,SW44,
12,ASW0002dx7,200,2.0,13185,0.3,c_cld,SW20,
8,ASW0002k40,200,1.0,899,0.5,Capella05,SW44,
,ASW0002fq1,,,YFTCUILJRN,,,----,
12,ASW0002dx7,200,0.9,13195,0.2,c_cld,SW20,
,ASW0009ah7,,,FEDADOFWJF,,,----,
,ASW0008qsm,,,M6ANSGW2BE,,,SW29,
11,ASW0006jh5,200,1.0,13217,0.5,c_cld,SW27,
12,ASW0006jh5,200,1.0,13218,0.5,c_cld,SW27,
12,ASW0004dv8,200,1.0,7081,0.5,Budgieye,SW01,
8,ASW0004dv8,200,1.0,7084,0.5,Budgieye,SW01,
12,ASW000619d,200,1.0,11421,0.5,c_cld,SW02,
,ASW0000p5i,,,CN5XYWWN4K,,,----,
9,ASW0001c3j,200,1.0,13248,0.5,c_cld,SW43,
11,ASW0001c3j,200,1.0,13251,0.5,c_cld,SW43,
12,ASW0001c3j,200,1.0,13252,0.5,c_cld,SW43,
,ASW0008qab,,,YE3SNH2S7J,,,----,
